,Tweet,Polarity
632, sindalah what about climate change isnt that going to be under water,0
633, sindalah give me a free ticket i will set pace,0
634, sindalah arent they worried about climate change rising sea levels oh sorry i forgot that only applies to us plebs,0
635, sindalah good morning ,0
636," sindalah 
 good morning ",0
637, sindalah do you sell beer,0
638, sindalah city is made of peopleby the people and not by money,0
639, sindalah its pure love and love doesn't have language barriers drkumarvishwas,0
640, sindalah i think you could squash in a few more houses ,0
641," sindalah you ads me add



cardboardz 
#solana solana #art 
network community ",0
642, imagine the fa doing this w the fa cup would be riots samrevell,0
643, sindalah what are you advertising to me i don't have a boat and the prospects are bleak,0
644, sindalah oh i love this beautiful view,0
645, sindalah just for the motherfuckers,0
646, sindalah i hope the energy is renewable,0
647," sindalah wtf
get out of my timeline ",0
648, sindalah be very careful with these projects - wef fingerprints all over them,0
649, sindalah i did get a fair bit of saudi petro-theocracy propaganda in my feed before the elon thing but there's really a lot now,0
650, sindalah meanwhile,0
651, sindalah nice,0
652, sindalah  berth marina but i only have  yachts ;(,0
653, sindalah please inbox,0
654, sindalah will there be cocktails,0
655, sindalah idiocy and money laundering go bust,0
656, sindalah does it have a submarine dock like little st james,0
657, sindalah good morning ,0
658, sindalah oligarchs avoiding military attack and all the journalists you can dismember free of charge a real paradise,0
659, sindalah its important #irgcterrorists,0
660, sindalah does islamic dystopia look like that,0
661, sindalah jamie i wanted to say sth go on insta pls earcandytunes,0
662, sindalah wo bester loot,0
663, sindalah serene but high adrenaline you say sounds a good place to kill and dismember journalists and try and cover it up to me any tips,0
664, love what you guys do,0
665, sindalah very nice,0
666, sindalah bullshit,0
667, sindalah horrible,0
668, sindalah including this surprise for journalists ,0
669," sindalah the terrorist ir regime killed 
#mohammadmehdikarami and #mohammadhosseini 
ir regime executed them in cold blood this morning
is there any intention in this messed up freaking world to stop this madness un emmanuelmacron
potus cnn",0
670," sindalah a revolution is happening in iran
islamic republic regime of mullas is falling
please amplify our voice
#stopexecutionsiniran 
#mahsaamini
#",0
671, sindalah lol it look's so fake,0
672, sindalah dominique,0
673, sindalah overcrowded,0
674, sindalah saudi arabia provide millions of jobs in neom city,0
675," sindalah neom city that will change the game of saudi arabia in world
dubai is badly effected by neom city in  coming time neom city will be new business hub and new tourism destiny
wish them best of luck",0
676, sindalah will the rich western residents of #sindalah #neom be subject to the same laws that you impose on your citizens and poor muslim immigrants including the frequent beheadings you should clarify that,0
677, sindalah neom never heard of itis this another scam,0
678, sindalah i'd be happy to read some of the responsibility surveys and know a little more about the experts working on environmental assessments with the red sea in danger people living on the land already in some developments such as the line,0
679, oxagon does saudi arabia ever release environmental assessments and surveys for these so-called circular building developments a lot of talk not a lot of experts weighing in about people and animals living in these wild places ,0
680, sindalah guarda menina loulll,0
681, sindalah the city created for false messiah near holy land of muslims no doubt for how israel invested in the creation of a city in desert of saudia arab soon it will be known as grater israel,0
682, sindalah the worst vanity project in human history,0
683, sindalah incl this - ,0
684," sindalah what happens when the sea levels rise

think if the luxury ocean resorts",0
685, sindalah oh my god this is shocking,0
686, sindalah show us how the sanitation works,0
687, nice sir,p
688," sindalah #mohammadghobadlou is an iranian protester who was sentenced to death in the court of the islamic republic
he has a bipolar disorder which was not considered by the court
be his voice pls",0
689, can i win an apartment :-),U
690, sindalah enchanting flogging and beheadings included,0
691, sindalah repjeffries the abcs of democracy guy #abcsofdemocracy lets get it trending,0
692, sindalah this might turn out amazing,0
